ID,FPS,"LOOPTYPE(0 : Single, 1 : Loop, 2: PingPong)",,
Bad_End,17,"0",,
,,,,
TEXTURE ID,LEET,"TOP",WIDTH,HEIGHT
Sprite/dialogueDeathExport0001.png,0,"0",1568,480
Sprite/dialogueDeathExport0002.png,0,"0",1568,480
Sprite/dialogueDeathExport0003.png,0,"0",1568,480
Sprite/dialogueDeathExport0004.png,0,"0",1568,480
Sprite/dialogueDeathExport0005.png,0,"0",1568,480
Sprite/dialogueDeathExport0006.png,0,"0",1568,480
Sprite/dialogueDeathExport0007.png,0,"0",1568,480
Sprite/dialogueDeathExport0008.png,0,"0",1568,480
Sprite/dialogueDeathExport0009.png,0,"0",1568,480
