ID,FPS,"LOOPTYPE(0 : Single, 1 : Loop, 2: PingPong)",,
Just_Idle,17,"1",,
,,,,
TEXTURE ID,LEET,"TOP",WIDTH,HEIGHT
PlusSprite/Justice.png,0,"0",100,100
PlusSprite/Justice.png,100,"0",100,100
PlusSprite/Justice.png,200,"0",100,100
PlusSprite/Justice.png,300,"0",100,100
PlusSprite/Justice.png,400,"0",100,100
PlusSprite/Justice.png,500,"0",100,100
PlusSprite/Justice.png,600,"0",100,100
PlusSprite/Justice.png,700,"0",100,100
PlusSprite/Justice.png,800,"0",100,100
PlusSprite/Justice.png,900,"0",100,100
PlusSprite/Justice.png,1000,"0",100,100
PlusSprite/Justice.png,1100,"0",100,100
