ID,FPS,"LOOPTYPE(0 : Single, 1 : Loop, 2: PingPong)",,
Key_Idle,13,"1",,
,,,,
TEXTURE ID,LEET,"TOP",WIDTH,HEIGHT
Sprite/assets100V20104.png,0,"0",80,100
Sprite/assets100V20105.png,0,"0",80,100
Sprite/assets100V20106.png,0,"0",80,100
Sprite/assets100V20107.png,0,"0",80,100
Sprite/assets100V20108.png,0,"0",80,100
Sprite/assets100V20109.png,0,"0",80,100
Sprite/assets100V20110.png,0,"0",80,100
Sprite/assets100V20111.png,0,"0",80,100
Sprite/assets100V20112.png,0,"0",80,100
Sprite/assets100V20113.png,0,"0",80,100
Sprite/assets100V20114.png,0,"0",80,100
Sprite/assets100V20115.png,0,"0",80,100
