ID,FPS,"LOOPTYPE(0 : Single, 1 : Loop, 2: PingPong)",,
Mode_Idle,17,"1",,
,,,,
TEXTURE ID,LEET,"TOP",WIDTH,HEIGHT
PlusSprite/Modeus.png,0,"0",100,100
PlusSprite/Modeus.png,100,"0",100,100
PlusSprite/Modeus.png,200,"0",100,100
PlusSprite/Modeus.png,300,"0",100,100
PlusSprite/Modeus.png,400,"0",100,100
PlusSprite/Modeus.png,500,"0",100,100
PlusSprite/Modeus.png,600,"0",100,100
PlusSprite/Modeus.png,700,"0",100,100
PlusSprite/Modeus.png,800,"0",100,100
PlusSprite/Modeus.png,900,"0",100,100
PlusSprite/Modeus.png,1000,"0",100,100
PlusSprite/Modeus.png,1100,"0",100,100
