ID,FPS,"LOOPTYPE(0 : Single, 1 : Loop, 2: PingPong)",,
GetDemon,8,"0",,
,,,,
TEXTURE ID,LEET,"TOP",WIDTH,HEIGHT
PlusSprite/Player_GetDemon.png,600,"0",100,140
PlusSprite/Player_GetDemon.png,600,"0",100,140
PlusSprite/Player_GetDemon.png,700,"0",100,140
PlusSprite/Player_GetDemon.png,700,"0",100,140
PlusSprite/Player_GetDemon.png,800,"0",100,140
PlusSprite/Player_GetDemon.png,800,"0",100,140
PlusSprite/Player_GetDemon.png,900,"0",100,140
PlusSprite/Player_GetDemon.png,900,"0",100,140
PlusSprite/Player_GetDemon.png,1000,"0",100,140
PlusSprite/Player_GetDemon.png,1000,"0",100,140
PlusSprite/Player_GetDemon.png,1100,"0",100,140
PlusSprite/Player_GetDemon.png,1200,"0",100,140
PlusSprite/Player_GetDemon.png,1300,"0",100,140
PlusSprite/Player_GetDemon.png,1400,"0",100,140
PlusSprite/Player_GetDemon.png,1500,"0",100,140
PlusSprite/Player_GetDemon.png,1600,"0",100,140
PlusSprite/Player_GetDemon.png,1700,"0",100,140
PlusSprite/Player_GetDemon.png,1800,"0",100,140
PlusSprite/Player_GetDemon.png,1900,"0",100,140
PlusSprite/Player_GetDemon.png,2000,"0",100,140
PlusSprite/Player_GetDemon.png,2100,"0",100,140
PlusSprite/Player_GetDemon.png,2200,"0",100,140
PlusSprite/Player_GetDemon.png,2300,"0",100,140
PlusSprite/Player_GetDemon.png,2400,"0",100,140
